name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
			AccumulatedDepreciation,"-42,610,000,000","-39,356,000,000","-37,920,000,000","-35,517,000,000","-32,415,000,000","-30,764,000,000","-29,037,000,000","-26,849,000,000","-24,844,000,000","-23,722,000,000","-22,459,000,000","-20,687,000,000","-19,572,000,000","-18,373,000,000","-17,395,000,000","-16,310,000,000","-15,145,000,000","-13,781,000,000","-12,605,000,000","-11,665,000,000","-8,794,000,000","-8,133,000,000","-7,728,000,000","-6,892,000,000","-6,220,000,000","-5,382,000,000","-4,857,000,000","-4,448,000,000","-3,039,000,000","-2,627,100,000","-2,286,400,000","-1,999,600,000","-1,667,800,000","-1,405,100,000","-1,217,300,000",,,,
		GoodwillAndOtherIntangibleAssets,"90,128,000,000","92,734,000,000","95,186,000,000","96,862,000,000","103,508,000,000","38,081,000,000","38,421,000,000","34,759,000,000","34,998,000,000","35,315,000,000","34,694,000,000","30,125,000,000","29,266,000,000","29,181,000,000","23,930,000,000","23,893,000,000","29,702,000,000","30,647,000,000","25,132,000,000","19,781,000,000","19,752,000,000","19,859,000,000","14,842,000,000","16,117,000,000","15,695,000,000","15,769,000,000","16,011,000,000","17,978,000,000",,,,,,,,,,,
			Goodwill,"77,067,000,000","77,897,000,000","78,071,000,000","77,689,000,000","80,293,000,000","31,269,000,000","31,426,000,000","27,810,000,000","27,826,000,000","27,881,000,000","27,324,000,000","25,110,000,000","24,145,000,000","24,100,000,000","21,683,000,000","21,465,000,000","22,085,000,000","22,505,000,000","16,974,000,000",,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"13,061,000,000","14,837,000,000","17,115,000,000","19,173,000,000","23,215,000,000","6,812,000,000","6,995,000,000","6,949,000,000","7,172,000,000","7,434,000,000","7,370,000,000","5,015,000,000","5,121,000,000","5,081,000,000","2,247,000,000","2,428,000,000","7,617,000,000","8,142,000,000","8,158,000,000","19,781,000,000","19,752,000,000","19,859,000,000","14,842,000,000","16,117,000,000","15,695,000,000","15,769,000,000","16,011,000,000","17,978,000,000",,,,,,,,,,,
		InvestmentsAndAdvances,"3,080,000,000","3,218,000,000","3,935,000,000","3,903,000,000","3,224,000,000","2,899,000,000","3,202,000,000","4,280,000,000","2,643,000,000","2,696,000,000","2,849,000,000","2,723,000,000","2,435,000,000","2,513,000,000","2,554,000,000","2,249,000,000",,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"2,688,000,000","2,678,000,000","2,638,000,000","2,632,000,000","2,922,000,000","2,768,000,000","3,087,000,000","4,082,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"392,000,000","540,000,000","1,297,000,000","1,271,000,000","302,000,000","131,000,000","115,000,000","198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,,,,,"131,000,000","115,000,000","198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,"1,928,000,000","1,688,000,000","1,651,000,000","1,589,000,000","1,485,000,000","1,547,000,000","1,645,000,000","1,683,000,000","1,275,000,000","1,225,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"33,591,000,000","35,777,000,000","29,549,000,000","25,022,000,000","22,810,000,000","7,888,000,000","7,481,000,000","6,339,000,000","6,183,000,000","5,325,000,000","4,783,000,000","4,541,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,"919,000,000","233,000,000","229,000,000","211,000,000","212,000,000","190,000,000","194,000,000","177,000,000","127,000,000","136,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"11,076,000,000","9,208,000,000","8,658,000,000","8,433,000,000","4,715,000,000","3,365,000,000","469,000,000","460,000,000","621,000,000","607,000,000","689,000,000","449,000,000","5,111,000,000","6,079,000,000","5,786,000,000","7,157,000,000","2,479,000,000","2,622,000,000","2,213,000,000","8,270,000,000","9,244,000,000","9,557,000,000","9,456,000,000","9,037,000,000","6,438,000,000","5,888,000,000","5,882,000,000","1,777,000,000","1,757,000,000","1,566,700,000","911,300,000","1,369,000,000","1,748,600,000","1,583,200,000","1,084,000,000",,,,
TotalLiabilitiesNetMinorityInterest,"92,567,000,000","95,253,000,000","101,385,000,000","104,037,000,000","91,132,000,000","44,643,000,000","49,637,000,000","44,710,000,000","39,527,000,000","35,963,000,000","33,091,000,000","32,940,000,000","32,671,000,000","29,864,000,000","27,692,000,000","28,830,000,000","28,880,000,000","26,835,000,000","25,700,000,000","27,023,000,000","25,769,000,000","26,166,000,000","20,756,000,000","20,571,000,000","22,704,000,000","21,990,000,000","21,212,000,000","20,540,000,000","7,955,000,000","7,318,000,000","6,720,600,000","6,157,100,000","5,557,200,000","4,533,700,000","3,613,200,000","2,749,600,000","1,960,900,000","1,702,300,000","1,712,400,000"
	CurrentLiabilities,"31,139,000,000","29,073,000,000","31,077,000,000","26,628,000,000","31,341,000,000","17,860,000,000","19,595,000,000","16,842,000,000","16,334,000,000","13,292,000,000","11,704,000,000","12,813,000,000","12,088,000,000","11,000,000,000","8,934,000,000","11,591,000,000","11,391,000,000","10,210,000,000","9,168,000,000","11,059,000,000","8,669,000,000","7,819,000,000","6,020,000,000","8,402,000,000","7,707,000,000","7,525,000,000","6,276,000,000","10,580,000,000","3,043,000,000","2,859,800,000","2,821,100,000","2,354,300,000","1,858,900,000","1,695,700,000","1,776,100,000","0","0","0","0"
		PayablesAndAccruedExpenses,"20,671,000,000","20,213,000,000","20,894,000,000","16,801,000,000","17,762,000,000","9,479,000,000","8,855,000,000","9,130,000,000","7,844,000,000","7,595,000,000","6,803,000,000","6,393,000,000","4,894,000,000","4,413,000,000","5,616,000,000","5,980,000,000","5,949,000,000","5,917,000,000","5,339,000,000","5,623,000,000","4,095,000,000","3,820,000,000","3,623,000,000","4,278,000,000","3,628,000,000","3,792,000,000","4,748,000,000","5,694,000,000","2,843,000,000","2,474,800,000","2,530,100,000","1,791,900,000","1,433,800,000","1,158,100,000","1,011,400,000",,,,
			Payables,"17,401,000,000","16,583,000,000","16,357,000,000","13,183,000,000","13,778,000,000","6,503,000,000","6,305,000,000","6,860,000,000","5,504,000,000","5,371,000,000","4,899,000,000","4,619,000,000","4,894,000,000","4,413,000,000","4,357,000,000","4,355,000,000","3,996,000,000","5,917,000,000","5,339,000,000","5,623,000,000","4,095,000,000","3,820,000,000","3,623,000,000","4,278,000,000","3,628,000,000","3,792,000,000","4,748,000,000","5,694,000,000","2,843,000,000","2,474,800,000","2,530,100,000","1,791,900,000","1,433,800,000","1,158,100,000","1,011,400,000",,,,
				AccountsPayable,"15,125,000,000","16,205,000,000","16,357,000,000","13,183,000,000","13,778,000,000","6,503,000,000","6,305,000,000","6,860,000,000","5,504,000,000","5,371,000,000","4,899,000,000","4,619,000,000","4,546,000,000","4,413,000,000","4,002,000,000","4,355,000,000","3,996,000,000","5,917,000,000","5,339,000,000","5,623,000,000","4,095,000,000","3,820,000,000","3,623,000,000","4,278,000,000","3,628,000,000","3,792,000,000","4,748,000,000","5,694,000,000","2,843,000,000","2,474,800,000","2,530,100,000","1,791,900,000","1,433,800,000","1,158,100,000","1,011,400,000",,,,
				TotalTaxPayable,"2,276,000,000","378,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"2,276,000,000","378,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,"253,000,000","348,000,000","212,000,000","355,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"3,270,000,000","3,630,000,000","4,537,000,000","3,618,000,000","3,984,000,000","2,976,000,000","2,550,000,000","2,270,000,000","2,340,000,000","2,224,000,000","1,904,000,000","1,774,000,000",,"1,484,000,000","1,259,000,000","1,625,000,000","1,953,000,000",,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,"1,521,000,000","1,468,000,000","1,484,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"4,330,000,000","3,070,000,000","5,866,000,000","5,711,000,000","8,857,000,000","3,790,000,000","6,172,000,000","3,687,000,000","4,563,000,000","2,164,000,000","1,512,000,000","3,614,000,000","3,055,000,000","2,350,000,000","1,206,000,000","3,529,000,000","3,280,000,000","2,682,000,000","2,310,000,000","4,093,000,000","2,457,000,000","1,663,000,000","829,000,000","2,502,000,000","2,415,000,000","2,123,000,000","897,000,000","4,304,000,000",,"117,600,000",,"181,400,000","128,900,000","337,300,000","513,800,000",,,,
